Name of Food,ENECC,sub_1,sub_2
닭고기,42,-0.1,0
도루묵,55,-0.2,0
청어,41,-0.3,0
 햄,47,-0.1,0.2
돼지발,42,0,0
고등어,40,-0.2,0
꽁치,41,-0.3,0
임연수어,41,-0.3,0
장어,41,0,0
검정콩,23,-0.2,0.5
순두부,169,0.1,0.1
고등어통조림,49,0,0
두 부,86,0,0.1
