Name of Food,ENECC,sub_1,sub_2
우유,233,0.2,0.5
무가당 두유,233,0.5,1
무당 연유,122,0.5,1.1
전지 분유,29,0.2,0.6
조제분유,20,-0.4,-0.5
탈지분유,21,0.1,-1
탈지 우유,233,0.1,-1.1
