Name of Food,ENECC,sub_1,sub_2
개고기,42,0.1,0
 메추리알,65,-0.1,0.1
 달갈,64,-0.2,0
 치즈,30,-0.2,0
유부,39,0.8,0.9
쇠갈비,43,0.2,0
 쇠꼬리,46,0.1,0
우설,62,0.2,0
프랑크소시지,56,0.8,0.2
 꽁치 통조림,57,0.6,0
뱀장어,56,0.3,0
런천민트,64,2.3,0.1
